Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourYdirection_study,20,-15.5550,10.1000,0.0000,-15.5845,10.2324,0.0124,0.1362,-0.0295,0.1324,0.0124,,,,,,,,,,,
2,Microfluidic_Split_FourYdirection_study,2433,-15.5550,10.3195,0.0000,-15.5844,10.4505,0.0123,0.1348,-0.0294,0.1310,0.0123,0.2195,0.0000,0.2195,0.0000,0.2180,0.0002,0.2180,-0.0002,0.0015,0.6665,
3,Microfluidic_Split_FourYdirection_study,2430,-15.5550,10.5390,0.0000,-15.5844,10.6690,0.0120,0.1338,-0.0294,0.1300,0.0120,,,,,,,,,,,
4,Microfluidic_Split_FourYdirection_study,2424,-15.5550,10.7589,0.0000,-15.5846,10.8879,0.0121,0.1329,-0.0296,0.1290,0.0121,0.2199,0.0000,0.2199,0.0000,0.2189,-0.0002,0.2189,0.0002,0.0010,0.4552,
5,Microfluidic_Split_FourYdirection_study,2427,-15.5550,10.9789,0.0000,-15.5851,11.1065,0.0120,0.1317,-0.0301,0.1276,0.0120,,,,,,,,,,,
6,Microfluidic_Split_FourYdirection_study,2412,-15.5550,11.1988,0.0000,-15.5855,11.3249,0.0118,0.1303,-0.0305,0.1261,0.0118,0.2199,0.0000,0.2199,0.0000,0.2184,-0.0005,0.2184,-0.0002,0.0015,0.6783,
7,Microfluidic_Split_FourYdirection_study,2421,-15.5550,11.4188,0.0000,-15.5859,11.5432,0.0119,0.1287,-0.0309,0.1244,0.0119,,,,,,,,,,,
8,Microfluidic_Split_FourYdirection_study,2415,-15.5550,11.6392,0.0000,-15.5861,11.7618,0.0119,0.1270,-0.0311,0.1226,0.0119,0.2204,0.0000,0.2204,0.0000,0.2186,-0.0002,0.2186,0.0000,0.0018,0.8299,
9,Microfluidic_Split_FourYdirection_study,2418,-15.5550,11.8597,0.0000,-15.5866,11.9804,0.0118,0.1253,-0.0316,0.1207,0.0118,,,,,,,,,,,
10,Microfluidic_Split_FourYdirection_study,2388,-15.5550,12.0802,0.0000,-15.5868,12.1989,0.0118,0.1235,-0.0318,0.1188,0.0118,0.2205,0.0000,0.2205,0.0000,0.2186,-0.0002,0.2186,0.0000,0.0019,0.8664,
