Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeYdirection_study (Run_8),9,-15.5550,40.0500,3.0500,-15.5806,39.9280,3.0458,0.1247,-0.0256,-0.1220,-0.0042,,,,,,,,,,,
2,Microfluidic_Split_ThreeYdirection_study (Run_8),2477,-15.5550,39.8304,3.0500,-15.5810,39.7086,3.0455,0.1246,-0.0260,-0.1218,-0.0045,0.2196,0.0000,-0.2196,0.0000,0.2195,-0.0004,-0.2195,-0.0003,0.0001,0.0596,
3,Microfluidic_Split_ThreeYdirection_study (Run_8),2474,-15.5550,39.6108,3.0500,-15.5809,39.4893,3.0455,0.1243,-0.0259,-0.1214,-0.0045,,,,,,,,,,,
4,Microfluidic_Split_ThreeYdirection_study (Run_8),2468,-15.5550,39.3911,3.0500,-15.5817,39.2700,3.0449,0.1241,-0.0267,-0.1211,-0.0051,0.2196,0.0000,-0.2196,0.0000,0.2193,-0.0008,-0.2193,-0.0006,0.0003,0.1450,
5,Microfluidic_Split_ThreeYdirection_study (Run_8),2471,-15.5550,39.1714,3.0500,-15.5816,39.0513,3.0446,0.1232,-0.0266,-0.1202,-0.0054,,,,,,,,,,,
6,Microfluidic_Split_ThreeYdirection_study (Run_8),2453,-15.5550,38.9518,3.0500,-15.5824,38.8328,3.0439,0.1223,-0.0274,-0.1190,-0.0061,0.2196,0.0000,-0.2196,0.0000,0.2185,-0.0008,-0.2185,-0.0006,0.0011,0.5151,
7,Microfluidic_Split_ThreeYdirection_study (Run_8),2465,-15.5550,38.7323,3.0500,-15.5826,38.6145,3.0437,0.1212,-0.0276,-0.1178,-0.0063,,,,,,,,,,,
8,Microfluidic_Split_ThreeYdirection_study (Run_8),2462,-15.5550,38.5119,3.0500,-15.5831,38.3958,3.0444,0.1196,-0.0281,-0.1161,-0.0056,0.2204,0.0000,-0.2204,0.0000,0.2187,-0.0004,-0.2187,0.0008,0.0017,0.7609,
9,Microfluidic_Split_ThreeYdirection_study (Run_8),2456,-15.5550,38.2915,3.0500,-15.5839,38.1771,3.0435,0.1182,-0.0289,-0.1144,-0.0065,,,,,,,,,,,
10,Microfluidic_Split_ThreeYdirection_study (Run_8),2459,-15.5550,38.0711,3.0500,-15.5838,37.9583,3.0438,0.1165,-0.0288,-0.1127,-0.0062,0.2204,0.0000,-0.2204,0.0000,0.2188,0.0001,-0.2188,0.0003,0.0016,0.7479,
11,Microfluidic_Split_ThreeYdirection_study (Run_8),2426,-15.5550,37.8504,3.0500,-15.5843,37.7397,3.0436,0.1148,-0.0293,-0.1108,-0.0064,,,,,,,,,,,
